BN,ventBN,BS,IEnd,I:E ratio,iTime,eTime,inst_RR,TVi,TVe,TVe:TVi ratio,maxF,minF,maxP,PIP,Maw,PEEP,ipAUC,epAUC, ,BS,x01,TVi1,TVe1,x02,TVi2,TVe2,minF_to_zero
45,8292,171.26,172.26,0.3448275862068966,1.0,2.9,15.384615384615385,408.35944444444442,408.13111111111118,0.99944085208156785,44.21,-41.54,18.07,18.07,13.7394,5.562,13.535733333333335,17.536649999999998, ,171.26,2015-06-15 01:29:40.786877000,408.35944444444442,408.13111111111118,2015-06-15 01:29:40.786877000,408.35944444444442,408.13111111111118,14.553191489361703
46,8293,175.16,176.06,0.3061224489795918,0.9,2.9400000000000004,15.624999999999998,396.92777777777775,392.53861111111115,0.98894215292454568,46.86,-40.55,18.08,18.08,13.646222222222221,5.506,12.089200000000002,17.795316666666665, ,175.16,2015-06-15 01:29:45.559776000,396.92777777777775,392.53861111111115,2015-06-15 01:29:45.559776000,396.92777777777775,392.53861111111115,14.20070422535211
47,8294,179.0,179.96,0.33802816901408445,0.96,2.8400000000000003,15.789473684210526,407.3483333333333,407.65111111111111,1.0007432895951731,42.14,-43.29,19.0,19.0,13.858958333333339,5.374,13.098716666666666,17.32093333333333, ,179.0,2015-06-15 01:29:50.132346000,407.3483333333333,407.65111111111111,2015-06-15 01:29:50.132346000,407.3483333333333,407.65111111111111,16.014814814814816
48,8295,182.8,183.7,0.3333333333333333,0.9,2.7,16.666666666666668,392.37777777777779,388.30833333333339,0.9896287591323556,45.24,-39.6,17.86,17.86,13.690888888888894,5.486,12.132400000000001,16.339633333333335, ,182.8,2015-06-15 01:29:54.551615000,392.37777777777779,388.30833333333339,2015-06-15 01:29:54.551615000,392.37777777777779,388.30833333333339,15.057251908396948
49,8296,186.4,187.38,0.3333333333333333,0.98,2.94,15.306122448979592,404.40888888888895,409.00138888888887,1.0113560807543518,44.93,-42.62,18.42,18.42,13.758367346938774,5.452,13.271666666666668,17.719116666666668, ,186.4,2015-06-15 01:29:58.914846000,404.40888888888895,409.00138888888887,2015-06-15 01:29:58.914846000,404.40888888888895,409.00138888888887,15.285714285714283
50,8297,190.32,191.24,0.2987012987012987,0.92,3.08,15.0,383.69611111111107,395.58999999999992,1.0309982002539624,43.22,-40.14,18.61,18.61,13.703913043478257,5.49,12.405116666666665,18.569200000000002, ,190.32,2015-06-15 01:30:03.443171000,383.69611111111107,395.58999999999992,2015-06-15 01:30:03.443171000,383.69611111111107,395.58999999999992,13.322147651006713
51,8298,194.32,195.22,0.2830188679245283,0.9,3.18,14.705882352941176,389.63,391.75638888888892,1.0054574567894898,44.33,-40.39,18.82,18.82,13.739555555555555,5.536,12.166333333333332,19.000133333333334, ,194.32,2015-06-15 01:30:08.391534000,389.63,391.75638888888892,2015-06-15 01:30:08.391534000,389.63,391.75638888888892,13.073717948717947
52,8299,198.4,199.38,0.3043478260869566,0.98,3.2199999999999993,14.285714285714288,400.09000000000003,389.19166666666666,0.97276029560015653,40.93,-40.58,18.82,18.82,13.817755102040822,5.438,13.331266666666668,19.27305, ,198.4,2015-06-15 01:30:13.283904000,400.09000000000003,389.19166666666666,2015-06-15 01:30:13.283904000,400.09000000000003,389.19166666666666,13.24025974025974
53,8300,202.6,203.6,0.3597122302158273,1.0,2.7800000000000002,15.873015873015872,414.43999999999994,403.44472222222231,0.97346955463329399,43.42,-42.5,17.98,17.98,13.8526,5.3,13.648833333333332,16.969116666666668, ,202.6,2015-06-15 01:30:18.185712000,414.43999999999994,403.44472222222231,2015-06-15 01:30:18.185712000,414.43999999999994,403.44472222222231,16.131578947368418
54,8301,206.38,207.34,0.3453237410071942,0.96,2.7800000000000002,16.0427807486631,401.24444444444441,397.89388888888891,0.99164959016393461,42.96,-40.55,18.21,18.21,13.752291666666672,5.524,13.000583333333333,16.806633333333334, ,206.38,2015-06-15 01:30:22.609150000,401.24444444444441,397.89388888888891,2015-06-15 01:30:22.609150000,401.24444444444441,397.89388888888891,14.896296296296295
